iter	RMSE
0	14.04640688
1	13.13994529
2	12.27889503
3	11.52264084
4	10.91596146
5	10.32404659
6	9.776151666
7	9.266320763
8	8.852082835
9	8.512318872
10	8.151960856
11	7.836440946
12	7.609891444
13	7.366352021
14	7.155128811
15	6.951376356
16	6.785031596
17	6.647293732
18	6.518837423
19	6.405168344
20	6.290121665
21	6.186760988
22	6.093772875
23	5.997671313
24	5.917027165
25	5.822297885
26	5.772805699
27	5.712618838
28	5.663315309
29	5.622482725
30	5.576844587
31	5.540332078
32	5.505095583
33	5.46087527
34	5.425440204
35	5.396100543
36	5.363490829
37	5.337472099
38	5.306755478
39	5.286328131
40	5.261158862
41	5.237809471
42	5.222294188
43	5.203863656
44	5.186629006
45	5.166675832
46	5.14651887
47	5.135048109
48	5.11865169
49	5.105586238
50	5.104809304
51	5.093468645
52	5.086112968
53	5.072080217
54	5.065823991
55	5.056863206
56	5.039811471
57	5.030172234
58	5.012562395
59	5.007016009
60	5.000895699
61	4.989082474
62	4.980578991
63	4.979508108
64	4.967046685
65	4.960243707
66	4.946044379
67	4.938280097
68	4.926322971
69	4.91699041
70	4.905971756
71	4.895846692
72	4.88155047
73	4.871451922
74	4.870047963
75	4.859236145
76	4.852447943
77	4.84462171
78	4.838068271
79	4.825035503
80	4.81723712
81	4.809472688
82	4.804156167
83	4.792860574
84	4.788816162
85	4.774357993
86	4.768148346
87	4.760428857
88	4.748403464
89	4.746656688
90	4.735159659
91	4.729062675
92	4.720330852
93	4.716080816
94	4.703292668
95	4.69533946
96	4.683199803
97	4.677450423
98	4.676562536
99	4.674980196
