iter	Passed	Remaining
0	0	73
1	1	70
2	2	68
3	2	64
4	3	61
5	3	59
6	4	58
7	4	56
8	5	53
9	5	52
10	6	51
11	6	51
12	7	50
13	8	49
14	8	49
15	9	48
16	9	47
17	10	45
18	10	45
19	11	45
20	12	45
21	12	44
22	13	44
23	13	43
24	14	43
25	15	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	35
39	22	34
40	23	33
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	39	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	53	1
98	53	0
99	54	0
