iter	Passed	Remaining
0	0	650
1	1	678
2	2	680
3	2	654
4	3	627
5	3	607
6	4	603
7	4	605
8	5	605
9	6	595
10	6	591
11	7	590
12	7	600
13	8	603
14	9	600
15	9	595
16	10	587
17	10	584
18	11	581
19	11	577
20	12	576
21	12	572
22	13	572
23	14	570
24	14	566
25	15	562
26	15	560
27	16	558
28	16	556
29	17	552
30	17	550
31	18	548
32	18	547
33	19	547
34	19	545
35	20	545
36	20	543
37	21	543
38	22	544
39	22	542
40	23	541
41	23	541
42	24	541
43	24	542
44	25	542
45	26	543
46	26	541
47	27	541
48	27	541
49	28	540
50	29	539
51	29	539
52	30	537
53	30	537
54	31	536
55	31	535
56	32	535
57	32	535
58	33	539
59	34	539
60	34	538
61	35	537
62	36	537
63	36	535
64	37	533
65	37	532
66	38	531
67	38	529
68	39	530
69	39	530
70	40	532
71	41	531
72	41	530
73	42	529
74	42	528
75	43	528
76	43	527
77	44	526
78	45	526
79	45	525
80	46	523
81	46	522
82	46	518
83	47	518
84	47	516
85	48	515
86	49	515
87	49	514
88	50	514
89	50	515
90	51	514
91	52	514
92	52	512
93	53	512
94	53	511
95	54	509
96	54	508
97	55	509
98	55	508
99	56	508
100	56	507
101	57	506
102	58	506
103	58	505
104	59	504
105	59	504
106	60	503
107	60	501
108	61	503
109	62	502
110	62	502
111	63	501
112	63	500
113	64	500
114	64	499
115	65	498
116	65	496
117	66	497
118	67	496
119	67	495
120	68	495
121	68	493
122	69	492
123	69	492
124	70	491
125	70	491
126	71	489
127	71	489
128	72	489
129	73	490
130	73	489
131	74	488
132	74	487
133	75	488
134	76	488
135	76	487
136	77	487
137	78	487
138	78	486
139	79	485
140	79	485
141	79	483
142	80	482
143	80	481
144	81	479
145	81	478
146	82	477
147	82	477
148	83	477
149	84	476
150	84	475
151	85	474
152	85	473
153	85	472
154	86	471
155	86	470
156	87	469
157	88	469
158	88	468
159	89	468
160	89	466
161	90	465
162	90	464
163	91	463
164	91	462
165	91	462
166	92	461
167	92	460
168	93	459
169	94	459
170	94	458
171	95	457
172	95	456
173	95	455
174	96	454
175	96	453
176	97	452
177	97	451
178	98	451
179	98	450
180	99	450
181	99	449
182	100	448
183	100	447
184	101	446
185	101	445
186	102	445
187	102	444
188	103	443
189	103	442
190	104	442
191	105	442
192	105	441
193	106	441
194	106	440
195	107	439
196	107	439
197	108	438
198	108	438
199	109	437
200	110	437
201	110	437
202	111	436
203	111	436
204	112	436
205	112	435
206	113	434
207	114	434
208	114	433
209	114	432
210	115	432
211	116	432
212	116	431
213	118	433
214	118	432
215	119	432
216	119	431
217	120	431
218	120	430
219	121	430
220	121	429
221	122	428
222	122	428
223	123	427
224	123	426
225	124	426
226	124	425
227	125	424
228	125	423
229	126	423
230	127	423
231	127	422
232	128	421
233	128	421
234	129	420
235	129	420
236	130	419
237	130	418
238	131	418
239	132	418
240	132	417
241	133	417
242	133	416
243	134	416
244	134	415
245	135	415
246	136	414
247	136	414
248	137	413
249	138	414
250	138	413
251	139	412
252	139	412
253	140	411
254	140	410
255	141	409
256	141	409
257	142	408
258	142	408
259	143	407
260	143	407
261	144	406
262	144	405
263	145	405
264	145	404
265	146	403
266	146	403
267	147	402
268	147	402
269	148	401
270	149	401
271	149	400
272	150	399
273	150	398
274	150	397
275	151	397
276	151	396
277	152	395
278	153	395
279	153	394
280	154	394
281	154	393
282	155	392
283	155	391
284	155	391
285	156	390
286	156	389
287	157	388
288	157	388
289	158	387
290	158	387
291	159	386
292	160	386
293	160	385
294	160	384
295	161	384
296	161	383
297	162	383
298	163	382
299	163	381
300	164	381
301	164	380
302	165	380
303	165	379
304	166	378
305	166	378
306	167	377
307	167	376
308	168	375
309	168	375
310	169	374
311	169	373
312	170	373
313	170	372
314	171	372
315	171	371
316	172	370
317	172	370
318	173	370
319	173	369
320	174	368
321	174	368
322	175	367
323	176	367
324	176	366
325	177	366
326	177	365
327	178	365
328	178	365
329	179	364
330	180	364
331	181	364
332	181	363
333	182	363
334	182	362
335	183	362
336	183	361
337	184	360
338	184	360
339	185	359
340	185	359
341	186	358
342	187	358
343	187	358
344	188	357
345	188	357
346	189	356
347	190	356
348	191	356
349	191	355
350	192	355
351	192	354
352	193	354
353	193	353
354	194	353
355	195	353
356	195	352
357	196	352
358	197	351
359	197	351
360	198	351
361	198	350
362	199	350
363	200	349
364	200	349
365	201	348
366	201	348
367	202	347
368	203	347
369	203	346
370	204	345
371	204	345
372	205	344
373	205	344
374	206	343
375	206	343
376	207	342
377	208	342
378	208	342
379	209	341
380	210	341
381	210	340
382	211	340
383	211	339
384	212	339
385	213	339
386	214	339
387	214	338
388	215	338
389	216	337
390	216	337
391	217	336
392	217	336
393	218	335
394	218	335
395	219	334
396	220	334
397	220	333
398	221	333
399	221	332
400	222	332
401	222	331
402	223	331
403	224	330
404	224	330
405	225	329
406	225	328
407	226	328
408	226	327
409	227	327
410	228	326
411	228	326
412	229	325
413	229	325
414	230	324
415	230	323
416	231	323
417	231	322
418	232	321
419	232	321
420	233	320
421	233	320
422	234	319
423	234	318
424	235	318
425	235	317
426	236	317
427	236	316
428	237	315
429	237	315
430	238	314
431	238	313
432	239	313
433	239	312
434	240	312
435	240	311
436	241	310
437	241	310
438	242	309
439	242	309
440	243	308
441	243	307
442	244	307
443	244	306
444	245	306
445	245	305
446	246	304
447	246	304
448	247	303
449	247	303
450	248	302
451	249	301
452	249	301
453	250	300
454	250	300
455	251	299
456	251	299
457	252	298
458	253	298
459	253	297
460	254	297
461	254	296
462	254	295
463	255	295
464	256	294
465	256	294
466	257	293
467	257	293
468	258	292
469	259	292
470	259	291
471	260	290
472	260	290
473	260	289
474	261	289
475	262	288
476	262	287
477	263	287
478	263	286
479	264	286
480	264	285
481	265	284
482	265	284
483	266	283
484	266	283
485	267	282
486	267	281
487	268	281
488	268	280
489	269	280
490	269	279
491	270	279
492	270	278
493	271	278
494	272	277
495	272	277
496	273	276
497	273	275
498	274	275
499	274	274
500	275	274
501	275	273
502	276	272
503	276	272
504	277	271
505	277	271
506	278	270
507	278	270
508	279	269
509	279	268
510	280	268
511	280	267
512	281	267
513	281	266
514	282	266
515	283	265
516	283	265
517	284	264
518	284	264
519	285	263
520	285	262
521	286	262
522	286	261
523	287	261
524	287	260
525	288	259
526	289	259
527	289	258
528	290	258
529	290	257
530	291	257
531	291	256
532	292	255
533	292	255
534	293	254
535	293	254
536	294	253
537	294	253
538	295	252
539	295	251
540	296	251
541	296	250
542	297	250
543	298	249
544	298	249
545	299	248
546	299	248
547	300	247
548	300	247
549	301	246
550	301	245
551	302	245
552	302	244
553	303	244
554	303	243
555	304	243
556	305	242
557	305	242
558	306	241
559	306	240
560	307	240
561	307	239
562	308	239
563	308	238
564	309	238
565	309	237
566	310	237
567	311	236
568	311	236
569	312	235
570	312	235
571	313	234
572	314	234
573	314	233
574	315	232
575	315	232
576	316	232
577	317	231
578	317	230
579	317	230
580	318	229
581	319	229
582	319	228
583	320	227
584	320	227
585	321	226
586	321	226
587	322	225
588	322	225
589	323	224
590	323	224
591	324	223
592	324	222
593	325	222
594	325	221
595	326	221
596	326	220
597	327	220
598	328	219
599	328	219
600	329	218
601	329	218
602	330	217
603	330	216
604	331	216
605	331	215
606	332	215
607	332	214
608	333	214
609	333	213
610	334	212
611	335	212
612	335	211
613	336	211
614	336	210
615	337	210
616	337	209
617	338	209
618	338	208
619	339	207
620	339	207
621	340	206
622	340	206
623	341	205
624	341	205
625	342	204
626	343	204
627	343	203
628	344	203
629	344	202
630	345	201
631	345	201
632	346	200
633	346	200
634	347	199
635	347	199
636	348	198
637	349	198
638	349	197
639	350	196
640	350	196
641	350	195
642	351	195
643	352	194
644	352	194
645	353	193
646	353	192
647	354	192
648	354	191
649	355	191
650	355	190
651	356	190
652	356	189
653	357	188
654	357	188
655	358	187
656	358	187
657	359	186
658	359	186
659	360	185
660	360	185
661	361	184
662	361	183
663	362	183
664	362	182
665	363	182
666	363	181
667	364	181
668	364	180
669	365	180
670	366	179
671	366	178
672	367	178
673	367	177
674	368	177
675	368	176
676	369	176
677	369	175
678	370	175
679	370	174
680	371	174
681	372	173
682	372	172
683	373	172
684	373	171
685	374	171
686	374	170
687	375	170
688	375	169
689	376	169
690	376	168
691	377	167
692	377	167
693	378	166
694	378	166
695	379	165
696	380	165
697	380	164
698	381	164
699	381	163
700	382	163
701	382	162
702	383	162
703	383	161
704	384	160
705	384	160
706	385	159
707	386	159
708	386	158
709	387	158
710	387	157
711	388	157
712	388	156
713	389	155
714	389	155
715	390	154
716	390	154
717	391	153
718	392	153
719	392	152
720	393	152
721	393	151
722	394	151
723	395	150
724	395	150
725	396	149
726	396	148
727	397	148
728	397	147
729	398	147
730	398	146
731	399	146
732	399	145
733	400	145
734	400	144
735	401	144
736	402	143
737	402	142
738	403	142
739	403	141
740	404	141
741	405	140
742	405	140
743	406	139
744	406	139
745	407	138
746	408	138
747	408	137
748	409	137
749	409	136
750	410	136
751	410	135
752	411	134
753	411	134
754	412	133
755	412	133
756	413	132
757	414	132
758	414	131
759	415	131
760	415	130
761	416	129
762	416	129
763	417	128
764	417	128
765	418	127
766	418	127
767	419	126
768	419	126
769	420	125
770	420	125
771	421	124
772	421	123
773	422	123
774	422	122
775	423	122
776	424	121
777	424	121
778	425	120
779	425	120
780	426	119
781	426	118
782	427	118
783	427	117
784	428	117
785	428	116
786	429	116
787	429	115
788	430	115
789	430	114
790	431	113
791	431	113
792	432	112
793	432	112
794	433	111
795	433	111
796	434	110
797	435	110
798	435	109
799	436	109
800	436	108
801	437	107
802	437	107
803	438	106
804	438	106
805	439	105
806	439	105
807	440	104
808	440	104
809	441	103
810	441	102
811	442	102
812	443	101
813	443	101
814	443	100
815	444	100
816	444	99
817	445	99
818	446	98
819	446	98
820	447	97
821	447	96
822	448	96
823	448	95
824	449	95
825	449	94
826	450	94
827	450	93
828	451	93
829	452	92
830	452	92
831	453	91
832	453	90
833	454	90
834	454	89
835	455	89
836	455	88
837	456	88
838	456	87
839	457	87
840	457	86
841	458	86
842	458	85
843	459	84
844	459	84
845	460	83
846	460	83
847	461	82
848	462	82
849	462	81
850	463	81
851	463	80
852	464	80
853	464	79
854	465	78
855	465	78
856	466	77
857	466	77
858	467	76
859	467	76
860	468	75
861	468	75
862	469	74
863	469	73
864	470	73
865	470	72
866	471	72
867	471	71
868	472	71
869	473	70
870	473	70
871	474	69
872	474	69
873	475	68
874	475	67
875	476	67
876	476	66
877	477	66
878	477	65
879	478	65
880	479	64
881	479	64
882	480	63
883	480	63
884	481	62
885	481	62
886	482	61
887	482	60
888	483	60
889	484	59
890	484	59
891	485	58
892	485	58
893	486	57
894	487	57
895	487	56
896	488	56
897	488	55
898	489	54
899	489	54
900	490	53
901	491	53
902	491	52
903	492	52
904	492	51
905	493	51
906	493	50
907	494	50
908	494	49
909	495	48
910	495	48
911	496	47
912	496	47
913	497	46
914	497	46
915	498	45
916	498	45
917	499	44
918	500	44
919	500	43
920	501	42
921	501	42
922	502	41
923	502	41
924	503	40
925	503	40
926	504	39
927	504	39
928	505	38
929	505	38
930	506	37
931	506	36
932	507	36
933	507	35
934	508	35
935	508	34
936	509	34
937	509	33
938	510	33
939	511	32
940	511	32
941	512	31
942	512	30
943	513	30
944	513	29
945	514	29
946	514	28
947	514	28
948	515	27
949	516	27
950	516	26
951	517	26
952	517	25
953	518	24
954	518	24
955	519	23
956	519	23
957	520	22
958	520	22
959	521	21
960	521	21
961	522	20
962	522	20
963	523	19
964	523	19
965	524	18
966	525	17
967	525	17
968	526	16
969	526	16
970	527	15
971	527	15
972	528	14
973	528	14
974	529	13
975	529	13
976	530	12
977	530	11
978	531	11
979	531	10
980	532	10
981	533	9
982	533	9
983	534	8
984	534	8
